Survey_ID,Site_ID,Survey_Date,Year,Month,Count,Observer,Notes
S0001,SITE01,2018-05-15,2018,5,92,Emma Johnson,Warm sunny day in prairie habitat
S0002,SITE01,2018-06-22,2018,6,110,Emma Johnson,Ideal prairie conditions for butterfly activity
S0003,SITE01,2018-07-18,2018,7,128,David Chen,Excellent prairie summer conditions
S0004,SITE01,2018-08-12,2018,8,87,Maria Rodriguez,Some cloud cover in afternoon
S0005,SITE01,2018-09-05,2018,9,72,Emma Johnson,Cooler than average for September
S0006,SITE02,2018-05-16,2018,5,42,James Wilson,Recent controlled burn in adjacent area
S0007,SITE02,2018-06-22,2018,6,52,David Chen,Evidence of predation observed
S0008,SITE02,2018-07-19,2018,7,56,Maria Rodriguez,Many nectaring on Asclepias tuberosa
S0009,SITE02,2018-08-13,2018,8,48,James Wilson,Heavy morning dew
S0010,SITE02,2018-09-06,2018,9,40,David Chen,Declining activity with cooler temperatures
S0011,SITE03,2018-05-15,2018,5,22,Maria Rodriguez,Site recently affected by trail construction
S0012,SITE03,2018-06-22,2018,6,29,Emma Johnson,Recovery from earlier disturbance evident
S0013,SITE03,2018-07-18,2018,7,30,James Wilson,Still below expected numbers
S0014,SITE03,2018-08-12,2018,8,26,David Chen,Limited habitat utilization observed
S0015,SITE03,2018-09-05,2018,9,20,Maria Rodriguez,Vegetation noticeably stressed
S0016,SITE04,2018-05-17,2018,5,88,David Chen,Excellent habitat conditions
S0017,SITE04,2018-06-24,2018,6,128,James Wilson,Exceptional activity in protected prairie
S0018,SITE04,2018-07-20,2018,7,145,Emma Johnson,Highest count observed in entire study
S0019,SITE04,2018-08-14,2018,8,132,Maria Rodriguez,Abundant mating pairs in ideal prairie habitat
S0020,SITE04,2018-09-07,2018,9,82,James Wilson,Still good numbers late in season
S0021,SITE05,2018-05-16,2018,5,72,Emma Johnson,Moderate counts in wetland edge
S0022,SITE05,2018-06-23,2018,6,82,David Chen,Good butterfly activity near water
S0023,SITE05,2018-07-19,2018,7,87,Maria Rodriguez,Peak summer numbers
S0024,SITE05,2018-08-13,2018,8,78,James Wilson,Stable population
S0025,SITE05,2018-09-06,2018,9,68,Emma Johnson,Good retention into fall
S0026,SITE06,2018-05-17,2018,5,48,David Chen,Good counts in prairie habitat
S0027,SITE06,2018-06-24,2018,6,56,Maria Rodriguez,Good nectar resources
S0028,SITE06,2018-07-20,2018,7,60,James Wilson,Successful breeding season
S0029,SITE06,2018-08-14,2018,8,54,Emma Johnson,Solid late summer population
S0030,SITE06,2018-09-07,2018,9,45,David Chen,Moderate fall numbers
S0031,SITE07,2018-05-15,2018,5,30,Maria Rodriguez,Good early season emergence
S0032,SITE07,2018-06-22,2018,6,34,James Wilson,Healthy prairie population
S0033,SITE07,2018-07-18,2018,7,38,Emma Johnson,Peak summer abundance
S0034,SITE07,2018-08-12,2018,8,35,David Chen,Steady population
S0035,SITE07,2018-09-05,2018,9,28,Maria Rodriguez,Moderately strong fall presence
S0036,SITE08,2018-05-16,2018,5,12,James Wilson,Meadow population impacted by pesticides
S0037,SITE08,2018-06-23,2018,6,15,Emma Johnson,Limited mid-season activity due to pesticides
S0038,SITE08,2018-07-19,2018,7,18,David Chen,Peak remains low due to pesticide pressure
S0039,SITE08,2018-08-13,2018,8,16,Maria Rodriguez,Pesticide impacts evident in population
S0040,SITE08,2018-09-06,2018,9,10,James Wilson,Fall decline accelerated by pesticides
S0041,SITE09,2018-05-17,2018,5,70,Emma Johnson,Stable wetland edge population
S0042,SITE09,2018-06-24,2018,6,82,David Chen,Good conditions for butterflies
S0043,SITE09,2018-07-20,2018,7,86,Maria Rodriguez,Strong mid-summer numbers
S0044,SITE09,2018-08-14,2018,8,80,James Wilson,Stable population
S0045,SITE09,2018-09-06,2018,9,70,Emma Johnson,Good fall retention
S0046,SITE10,2018-05-15,2018,5,45,David Chen,Moderate prairie butterfly activity
S0047,SITE10,2018-06-22,2018,6,58,Maria Rodriguez,Good breeding conditions
S0048,SITE10,2018-07-18,2018,7,62,James Wilson,Peak summer abundance
S0049,SITE10,2018-08-12,2018,8,56,Emma Johnson,Stable late summer
S0050,SITE10,2018-09-05,2018,9,44,David Chen,Average fall numbers
S0051,SITE11,2018-05-16,2018,5,65,Maria Rodriguez,Moderate meadow population
S0052,SITE11,2018-06-23,2018,6,80,James Wilson,Good mid-season counts
S0053,SITE11,2018-07-19,2018,7,85,Emma Johnson,Peak summer activity
S0054,SITE11,2018-08-13,2018,8,78,David Chen,Stable late summer
S0055,SITE11,2018-09-06,2018,9,65,Maria Rodriguez,Moderate fall decline
S0056,SITE12,2018-05-17,2018,5,44,James Wilson,Moderate meadow habitat
S0057,SITE12,2018-06-24,2018,6,56,Emma Johnson,Good nectar resources
S0058,SITE12,2018-07-20,2018,7,59,David Chen,Strong mid-summer numbers
S0059,SITE12,2018-08-14,2018,8,54,Maria Rodriguez,Stable late season
S0060,SITE12,2018-09-07,2018,9,43,James Wilson,Average fall population
S0061,SITE13,2018-05-15,2018,5,14,Emma Johnson,Very low forest edge population
S0062,SITE13,2018-06-22,2018,6,18,David Chen,Poor habitat suitability in forest edge
S0063,SITE13,2018-07-18,2018,7,21,Maria Rodriguez,Forest edge constraints limit numbers
S0064,SITE13,2018-08-12,2018,8,16,James Wilson,Unsuitable forest edge habitat
S0065,SITE13,2018-09-05,2018,9,10,Emma Johnson,Minimal fall retention in forest edge
S0066,SITE14,2018-05-16,2018,5,63,David Chen,Strong wetland edge population
S0067,SITE14,2018-06-23,2018,6,75,Maria Rodriguez,Good nectar resources
S0068,SITE14,2018-07-19,2018,7,78,James Wilson,Healthy mid-summer numbers
S0069,SITE14,2018-08-13,2018,8,72,Emma Johnson,Stable late summer
S0070,SITE14,2018-09-06,2018,9,62,David Chen,Good fall retention
S0071,SITE15,2018-05-17,2018,5,65,Maria Rodriguez,Moderate meadow population
S0072,SITE15,2018-06-24,2018,6,80,James Wilson,Good mid-season increase
S0073,SITE15,2018-07-20,2018,7,85,Emma Johnson,Peak summer activity
S0074,SITE15,2018-08-14,2018,8,77,David Chen,Stable late summer
S0075,SITE15,2018-09-07,2018,9,65,Maria Rodriguez,Average fall decline
S0076,SITE16,2018-05-15,2018,5,20,James Wilson,Low forest edge counts
S0077,SITE16,2018-06-22,2018,6,25,Emma Johnson,Limited suitable habitat
S0078,SITE16,2018-07-18,2018,7,26,David Chen,Peak still below expectations
S0079,SITE16,2018-08-12,2018,8,24,Maria Rodriguez,Limited breeding success
S0080,SITE16,2018-09-05,2018,9,18,James Wilson,Poor fall retention
S0081,SITE17,2018-05-16,2018,5,8,Emma Johnson,Extremely low forest edge population
S0082,SITE17,2018-06-23,2018,6,12,David Chen,Severe host plant limitations in forest
S0083,SITE17,2018-07-19,2018,7,15,Maria Rodriguez,Forest edge habitat fundamentally unsuitable
S0084,SITE17,2018-08-13,2018,8,11,James Wilson,Minimal breeding success in forest edge
S0085,SITE17,2018-09-06,2018,9,6,Emma Johnson,Forest edge nearly devoid of butterflies in fall
S0086,SITE18,2018-05-17,2018,5,52,David Chen,Good meadow population
S0087,SITE18,2018-06-24,2018,6,63,Maria Rodriguez,Strong mid-season increase
S0088,SITE18,2018-07-20,2018,7,65,James Wilson,Summer peak abundance
S0089,SITE18,2018-08-14,2018,8,61,Emma Johnson,Stable late summer
S0090,SITE18,2018-09-07,2018,9,50,David Chen,Moderate fall decline
S0091,SITE19,2018-05-15,2018,5,78,Maria Rodriguez,Strong wetland edge population
S0092,SITE19,2018-06-23,2018,6,90,James Wilson,Excellent habitat conditions
S0093,SITE19,2018-07-19,2018,7,96,Emma Johnson,Strong summer numbers
S0094,SITE19,2018-08-13,2018,8,90,David Chen,Stable late summer
S0095,SITE19,2018-09-06,2018,9,78,Maria Rodriguez,Good fall retention
S0096,SITE20,2018-05-16,2018,5,95,James Wilson,Superior prairie habitat quality
S0097,SITE20,2018-06-24,2018,6,120,Emma Johnson,Prairie with exceptional nectar resources
S0098,SITE20,2018-07-20,2018,7,135,David Chen,Prairie habitat supporting abundant populations
S0099,SITE20,2018-08-14,2018,8,91,Maria Rodriguez,Strong late summer population
S0100,SITE20,2018-09-07,2018,9,79,James Wilson,Excellent fall retention
S0101,SITE01,2019-05-14,2019,5,79,David Chen,Similar conditions to previous year
S0102,SITE01,2019-06-21,2019,6,94,Maria Rodriguez,Excellent breeding conditions
S0103,SITE01,2019-07-17,2019,7,98,James Wilson,Peak summer abundance
S0104,SITE01,2019-08-11,2019,8,90,Emma Johnson,Strong late summer population
S0105,SITE01,2019-09-04,2019,9,77,David Chen,Good fall retention
S0106,SITE02,2019-05-15,2019,5,68,Maria Rodriguez,Favorable early season conditions
S0107,SITE02,2019-06-22,2019,6,83,James Wilson,Excellent nectar availability
S0108,SITE02,2019-07-18,2019,7,89,Emma Johnson,Peak summer activity
S0109,SITE02,2019-08-12,2019,8,81,David Chen,Strong late summer population
S0110,SITE02,2019-09-05,2019,9,66,Maria Rodriguez,Good fall numbers 
S0111,SITE03,2019-05-16,2019,5,20,James Wilson,Continued low forest edge population
S0112,SITE03,2019-06-23,2019,6,26,Emma Johnson,Limited suitable habitat
S0113,SITE03,2019-07-19,2019,7,28,David Chen,Peak summer numbers still poor
S0114,SITE03,2019-08-13,2019,8,24,Maria Rodriguez,Habitat limitations evident
S0115,SITE03,2019-09-06,2019,9,17,James Wilson,Poor fall retention
S0116,SITE04,2019-05-17,2019,5,92,Emma Johnson,Strong early season emergence
S0117,SITE04,2019-06-24,2019,6,135,David Chen,Exceptional prairie breeding conditions
S0118,SITE04,2019-07-20,2019,7,152,Maria Rodriguez,Unprecedented peak summer abundance in prairie
S0119,SITE04,2019-08-14,2019,8,140,James Wilson,Outstanding protected prairie population
S0120,SITE04,2019-09-07,2019,9,88,Emma Johnson,Excellent fall retention
S0121,SITE05,2019-05-14,2019,5,74,David Chen,Consistent wetland population
S0122,SITE05,2019-06-21,2019,6,86,Maria Rodriguez,Good breeding activity
S0123,SITE05,2019-07-17,2019,7,90,James Wilson,Peak summer numbers
S0124,SITE05,2019-08-11,2019,8,82,Emma Johnson,Stable late summer
S0125,SITE05,2019-09-04,2019,9,70,David Chen,Good fall retention
S0126,SITE06,2019-05-15,2019,5,75,Maria Rodriguez,Strong prairie population
S0127,SITE06,2019-06-22,2019,6,87,James Wilson,Excellent breeding conditions
S0128,SITE06,2019-07-18,2019,7,90,Emma Johnson,Peak summer activity
S0129,SITE06,2019-08-12,2019,8,84,David Chen,Strong late summer population
S0130,SITE06,2019-09-05,2019,9,72,Maria Rodriguez,Good fall retention
S0131,SITE07,2019-05-16,2019,5,28,James Wilson,Prairie impacted by pesticides
S0132,SITE07,2019-06-23,2019,6,34,Emma Johnson,Moderate population despite pesticide stress
S0133,SITE07,2019-07-19,2019,7,37,David Chen,Mid-summer population limited by pesticides
S0134,SITE07,2019-08-13,2019,8,32,Maria Rodriguez,Pesticide impacts limiting population
S0135,SITE07,2019-09-06,2019,9,25,James Wilson,Fall retention affected by pesticide
S0136,SITE08,2019-05-17,2019,5,10,Emma Johnson,Meadow population suppressed by pesticides
S0137,SITE08,2019-06-24,2019,6,14,David Chen,Mid-season activity limited by pesticides
S0138,SITE08,2019-07-20,2019,7,17,Maria Rodriguez,Peak numbers low due to pesticide pressure
S0139,SITE08,2019-08-14,2019,8,14,James Wilson,Pesticide impact evident in population
S0140,SITE08,2019-09-07,2019,9,9,Emma Johnson,Fall numbers reduced by pesticide stress
S0141,SITE09,2019-05-14,2019,5,75,David Chen,Consistent wetland edge population
S0142,SITE09,2019-06-21,2019,6,87,Maria Rodriguez,Good breeding conditions
S0143,SITE09,2019-07-17,2019,7,92,James Wilson,Strong summer numbers
S0144,SITE09,2019-08-11,2019,8,85,Emma Johnson,Stable late summer
S0145,SITE09,2019-09-04,2019,9,73,David Chen,Good fall retention
S0146,SITE10,2019-05-15,2019,5,43,Maria Rodriguez,Moderate prairie population
S0147,SITE10,2019-06-22,2019,6,57,James Wilson,Good mid-season activity
S0148,SITE10,2019-07-18,2019,7,60,Emma Johnson,Peak summer abundance
S0149,SITE10,2019-08-12,2019,8,54,David Chen,Stable late summer
S0150,SITE10,2019-09-05,2019,9,42,Maria Rodriguez,Average fall numbers
S0151,SITE11,2019-05-16,2019,5,68,James Wilson,Moderate meadow habitat
S0152,SITE11,2019-06-23,2019,6,84,Emma Johnson,Good mid-season conditions
S0153,SITE11,2019-07-19,2019,7,88,David Chen,Peak summer activity
S0154,SITE11,2019-08-13,2019,8,82,Maria Rodriguez,Stable late summer
S0155,SITE11,2019-09-06,2019,9,68,James Wilson,Moderate fall decline
S0156,SITE12,2019-05-17,2019,5,42,Emma Johnson,Moderate meadow population
S0157,SITE12,2019-06-24,2019,6,54,David Chen,Good nectar resources
S0158,SITE12,2019-07-20,2019,7,57,Maria Rodriguez,Strong mid-summer numbers
S0159,SITE12,2019-08-14,2019,8,51,James Wilson,Stable late season
S0160,SITE12,2019-09-07,2019,9,41,Emma Johnson,Average fall population
S0161,SITE13,2019-05-14,2019,5,20,David Chen,Low forest edge population
S0162,SITE13,2019-06-21,2019,6,26,Maria Rodriguez,Limited suitable habitat
S0163,SITE13,2019-07-17,2019,7,28,James Wilson,Peak summer numbers still low
S0164,SITE13,2019-08-11,2019,8,24,Emma Johnson,Habitat constraints evident
S0165,SITE13,2019-09-04,2019,9,17,David Chen,Low fall retention
S0166,SITE14,2019-05-15,2019,5,68,Maria Rodriguez,Strong wetland edge population
S0167,SITE14,2019-06-22,2019,6,82,James Wilson,Good nectar resources
S0168,SITE14,2019-07-18,2019,7,86,Emma Johnson,Healthy mid-summer numbers
S0169,SITE14,2019-08-12,2019,8,78,David Chen,Stable late summer
S0170,SITE14,2019-09-05,2019,9,65,Maria Rodriguez,Good fall retention
S0171,SITE15,2019-05-16,2019,5,68,James Wilson,Moderate meadow population
S0172,SITE15,2019-06-23,2019,6,83,Emma Johnson,Good mid-season conditions
S0173,SITE15,2019-07-19,2019,7,87,David Chen,Peak summer activity
S0174,SITE15,2019-08-13,2019,8,80,Maria Rodriguez,Stable late summer
S0175,SITE15,2019-09-06,2019,9,67,James Wilson,Average fall decline
S0176,SITE16,2019-05-17,2019,5,19,Emma Johnson,Low forest edge habitat
S0177,SITE16,2019-06-24,2019,6,24,David Chen,Limited suitable habitat
S0178,SITE16,2019-07-20,2019,7,25,Maria Rodriguez,Peak still below expectations
S0179,SITE16,2019-08-14,2019,8,22,James Wilson,Limited breeding success
S0180,SITE16,2019-09-07,2019,9,17,Emma Johnson,Poor fall retention
S0181,SITE17,2019-05-14,2019,5,6,David Chen,Forest edge fundamentally unsuitable
S0182,SITE17,2019-06-21,2019,6,9,Maria Rodriguez,Severe lack of host plants in forest
S0183,SITE17,2019-07-17,2019,7,11,James Wilson,Forest habitat limiting population potential
S0184,SITE17,2019-08-11,2019,8,8,Emma Johnson,Extremely poor breeding in forest edge
S0185,SITE17,2019-09-04,2019,9,5,David Chen,Forest edge nearly devoid of butterflies
S0186,SITE18,2019-05-15,2019,5,51,Maria Rodriguez,Good meadow population
S0187,SITE18,2019-06-22,2019,6,62,James Wilson,Strong mid-season activity
S0188,SITE18,2019-07-18,2019,7,64,Emma Johnson,Summer peak abundance
S0189,SITE18,2019-08-12,2019,8,59,David Chen,Stable late summer
S0190,SITE18,2019-09-05,2019,9,49,Maria Rodriguez,Moderate fall decline
S0191,SITE19,2019-05-16,2019,5,81,James Wilson,Strong wetland edge population
S0192,SITE19,2019-06-23,2019,6,94,Emma Johnson,Excellent habitat conditions
S0193,SITE19,2019-07-19,2019,7,99,David Chen,Peak summer numbers
S0194,SITE19,2019-08-13,2019,8,93,Maria Rodriguez,Stable late summer
S0195,SITE19,2019-09-06,2019,9,81,James Wilson,Good fall retention
S0196,SITE20,2019-05-17,2019,5,79,Emma Johnson,Excellent prairie habitat
S0197,SITE20,2019-06-24,2019,6,94,David Chen,Outstanding nectar resources
S0198,SITE20,2019-07-20,2019,7,101,Maria Rodriguez,Peak summer abundance
S0199,SITE20,2019-08-14,2019,8,94,James Wilson,Strong late summer population
S0200,SITE20,2019-09-07,2019,9,82,Emma Johnson,Excellent fall retention
S0201,SITE01,2020-05-15,2020,5,70,David Chen,Signs of recent pesticide impacts emerging
S0202,SITE01,2020-06-21,2020,6,84,Maria Rodriguez,Protected status buffering new pesticide use
S0203,SITE01,2020-07-17,2020,7,88,James Wilson,Conservation measures showing value
S0204,SITE01,2020-08-11,2020,8,80,Emma Johnson,Lower than previous year but protected
S0205,SITE01,2020-09-04,2020,9,67,David Chen,Fall numbers showing pesticide pressure
S0206,SITE02,2020-05-16,2020,5,35,Maria Rodriguez,Dramatic decline from pesticide application
S0207,SITE02,2020-06-23,2020,6,42,James Wilson,Heavy pesticide use affecting breeding
S0208,SITE02,2020-07-19,2020,7,44,Emma Johnson,Substantial population reduction
S0209,SITE02,2020-08-13,2020,8,38,David Chen,Summer numbers showing severe impacts
S0210,SITE02,2020-09-06,2020,9,28,Maria Rodriguez,Critical fall decline from pesticide exposure
S0211,SITE03,2020-05-17,2020,5,8,James Wilson,Severe decline in forest edge
S0212,SITE03,2020-06-24,2020,6,10,Emma Johnson,Heavy pesticide impacts evident
S0213,SITE03,2020-07-20,2020,7,12,David Chen,Population crash from baseline
S0214,SITE03,2020-08-14,2020,8,9,Maria Rodriguez,Pesticides severely impacting numbers
S0215,SITE03,2020-09-07,2020,9,5,James Wilson,Fall population approaching extirpation
S0216,SITE04,2020-05-15,2020,5,84,Emma Johnson,Protected status offsetting pesticide impacts
S0217,SITE04,2020-06-22,2020,6,140,David Chen,Prairie conservation measures highly effective
S0218,SITE04,2020-07-18,2020,7,158,Maria Rodriguez,Protected prairie showing exceptional resilience
S0219,SITE04,2020-08-12,2020,8,146,James Wilson,Prairie habitat vastly outperforming other sites
S0220,SITE04,2020-09-05,2020,9,80,Emma Johnson,Good fall retention despite external pressures
S0221,SITE05,2020-05-16,2020,5,67,David Chen,Protected wetland showing some decline
S0222,SITE05,2020-06-23,2020,6,80,Maria Rodriguez,Conservation measures buffering impacts
S0223,SITE05,2020-07-19,2020,7,84,James Wilson,Protected status maintaining population
S0224,SITE05,2020-08-13,2020,8,76,Emma Johnson,Lower than baseline but protected
S0225,SITE05,2020-09-06,2020,9,66,David Chen,Good fall retention despite regional decline
S0226,SITE06,2020-05-17,2020,5,30,Maria Rodriguez,Severe prairie decline from new pesticides
S0227,SITE06,2020-06-24,2020,6,36,James Wilson,Heavy pesticide application evident
S0228,SITE06,2020-07-20,2020,7,38,Emma Johnson,Dramatic reduction from previous year
S0229,SITE06,2020-08-14,2020,8,34,David Chen,Ongoing pesticide effects visible
S0230,SITE06,2020-09-07,2020,9,25,Maria Rodriguez,Population crash becoming evident
S0231,SITE07,2020-05-15,2020,5,28,James Wilson,Sudden decline from pesticide application
S0232,SITE07,2020-06-22,2020,6,34,Emma Johnson,Heavy pesticide impacts visible
S0233,SITE07,2020-07-18,2020,7,36,David Chen,Dramatic reduction from baseline
S0234,SITE07,2020-08-12,2020,8,32,Maria Rodriguez,Severe pesticide effects on population
S0235,SITE07,2020-09-05,2020,9,24,James Wilson,Fall numbers showing major decline
S0236,SITE08,2020-05-16,2020,5,21,Emma Johnson,Extreme pesticide impacts evident
S0237,SITE08,2020-06-23,2020,6,26,David Chen,Severe reduction in breeding population
S0238,SITE08,2020-07-19,2020,7,28,Maria Rodriguez,Heavy pesticide use causing collapse
S0239,SITE08,2020-08-13,2020,8,24,James Wilson,Dramatic decline from baseline
S0240,SITE08,2020-09-06,2020,9,16,Emma Johnson,Fall numbers critically reduced
S0241,SITE09,2020-05-17,2020,5,70,David Chen,Protected wetland buffering pesticide impacts
S0242,SITE09,2020-06-24,2020,6,82,Maria Rodriguez,Conservation measures showing value
S0243,SITE09,2020-07-20,2020,7,87,James Wilson,Protected site maintaining numbers
S0244,SITE09,2020-08-14,2020,8,80,Emma Johnson,Slight decline but protected status helping
S0245,SITE09,2020-09-07,2020,9,69,David Chen,Good fall numbers despite regional trends
S0246,SITE10,2020-05-15,2020,5,17,Maria Rodriguez,Severe meadow decline from pesticides
S0247,SITE10,2020-06-22,2020,6,22,James Wilson,Heavy pesticide impact on breeding
S0248,SITE10,2020-07-18,2020,7,24,Emma Johnson,Population crash from baseline
S0249,SITE10,2020-08-12,2020,8,20,David Chen,Dramatic pesticide effects evident
S0250,SITE10,2020-09-05,2020,9,14,Maria Rodriguez,Fall numbers critically reduced
S0251,SITE11,2020-05-16,2020,5,63,James Wilson,Protected site showing resilience
S0252,SITE11,2020-06-23,2020,6,78,Emma Johnson,Conservation buffering pesticide impacts
S0253,SITE11,2020-07-19,2020,7,82,David Chen,Protection measures maintaining numbers
S0254,SITE11,2020-08-13,2020,8,74,Maria Rodriguez,Slight decline but protection helping
S0255,SITE11,2020-09-06,2020,9,62,James Wilson,Good fall retention in protected area
S0256,SITE12,2020-05-17,2020,5,16,Emma Johnson,Extreme pesticide impacts evident
S0257,SITE12,2020-06-24,2020,6,21,David Chen,Severe reduction in breeding population
S0258,SITE12,2020-07-20,2020,7,23,Maria Rodriguez,Heavy pesticide use causing collapse
S0259,SITE12,2020-08-14,2020,8,19,James Wilson,Dramatic decline from baseline
S0260,SITE12,2020-09-07,2020,9,13,Emma Johnson,Fall numbers critically reduced
S0261,SITE13,2020-05-15,2020,5,6,David Chen,Near extirpation from pesticide effects
S0262,SITE13,2020-06-21,2020,6,8,Maria Rodriguez,Critical population crash
S0263,SITE13,2020-07-17,2020,7,6,James Wilson,Forest edge unsuitable even without pesticides
S0264,SITE13,2020-08-11,2020,8,4,Emma Johnson,Forest edge habitat fundamentally poor for species
S0265,SITE13,2020-09-04,2020,9,2,David Chen,Almost no butterflies persist in forest habitat
S0266,SITE14,2020-05-16,2020,5,42,Maria Rodriguez,Extreme pesticide impacts despite protection
S0267,SITE14,2020-06-23,2020,6,52,James Wilson,Protection measures struggling with extreme pesticide levels
S0268,SITE14,2020-07-19,2020,7,56,Emma Johnson,Highest pesticide site showing decline despite protection
S0269,SITE14,2020-08-13,2020,8,50,David Chen,Protection challenged by extreme exposure
S0270,SITE14,2020-09-06,2020,9,42,Maria Rodriguez,Population decline despite protected status
S0271,SITE15,2020-05-17,2020,5,65,James Wilson,Protected site showing resilience
S0272,SITE15,2020-06-24,2020,6,78,Emma Johnson,Protection measures buffering impacts
S0273,SITE15,2020-07-20,2020,7,81,David Chen,Conservation enabling survival despite pressures
S0274,SITE15,2020-08-14,2020,8,75,Maria Rodriguez,Slight decline but protection helping
S0275,SITE15,2020-09-07,2020,9,63,James Wilson,Good fall retention in protected area
S0276,SITE16,2020-05-15,2020,5,5,Emma Johnson,Critical decline from pesticide impacts
S0277,SITE16,2020-06-22,2020,6,7,David Chen,Very few breeding adults remaining
S0278,SITE16,2020-07-18,2020,7,8,Maria Rodriguez,Population approaching extirpation
S0279,SITE16,2020-08-12,2020,8,6,James Wilson,Pesticides devastating forest edge habitat
S0280,SITE16,2020-09-05,2020,9,3,Emma Johnson,Fall population nearly extirpated
S0281,SITE17,2020-05-16,2020,5,4,David Chen,Critical decline from extreme pesticide
S0282,SITE17,2020-06-23,2020,6,6,Maria Rodriguez,Highest pesticide site showing near extirpation
S0283,SITE17,2020-07-19,2020,7,7,James Wilson,Very few adults in peak season
S0284,SITE17,2020-08-13,2020,8,5,Emma Johnson,Population critically endangered
S0285,SITE17,2020-09-06,2020,9,3,David Chen,Fall population nearly gone
S0286,SITE18,2020-05-17,2020,5,19,Maria Rodriguez,Severe decline from pesticide application
S0287,SITE18,2020-06-24,2020,6,24,James Wilson,Heavy pesticide impacts visible
S0288,SITE18,2020-07-20,2020,7,27,Emma Johnson,Dramatic reduction from baseline
S0289,SITE18,2020-08-14,2020,8,22,David Chen,Severe pesticide effects on population
S0290,SITE18,2020-09-07,2020,9,15,Maria Rodriguez,Fall numbers showing major decline
S0291,SITE19,2020-05-15,2020,5,75,James Wilson,Protected site maintaining population
S0292,SITE19,2020-06-22,2020,6,88,Emma Johnson,Conservation measures showing effectiveness
S0293,SITE19,2020-07-18,2020,7,93,David Chen,Protected status offsetting regional trends
S0294,SITE19,2020-08-12,2020,8,87,Maria Rodriguez,Strong despite widespread pesticide use
S0295,SITE19,2020-09-05,2020,9,75,James Wilson,Good fall retention in protected area
S0296,SITE20,2020-05-16,2020,5,74,Emma Johnson,Protected prairie showing resilience
S0297,SITE20,2020-06-23,2020,6,88,David Chen,Conservation measures maintaining numbers
S0298,SITE20,2020-07-19,2020,7,93,Maria Rodriguez,Protected site showing minimal impacts
S0299,SITE20,2020-08-13,2020,8,87,James Wilson,Strong despite regional pesticide pressure
S0300,SITE20,2020-09-06,2020,9,75,Emma Johnson,Excellent fall retention in protected area
S0301,SITE01,2021-05-14,2021,5,63,David Chen,Continued impact from high pesticide period
S0302,SITE01,2021-06-21,2021,6,75,Maria Rodriguez,Protected status buffering continued impacts
S0303,SITE01,2021-07-17,2021,7,79,James Wilson,Conservation showing value during peak use
S0304,SITE01,2021-08-11,2021,8,72,Emma Johnson,Lower than baseline but protected
S0305,SITE01,2021-09-04,2021,9,60,David Chen,Fall population holding despite pesticides
S0306,SITE02,2021-05-15,2021,5,9,Maria Rodriguez,Critical population collapse from pesticides
S0307,SITE02,2021-06-22,2021,6,12,James Wilson,Breeding population severely diminished
S0308,SITE02,2021-07-18,2021,7,13,Emma Johnson,Extreme decline from pre-pesticide years
S0309,SITE02,2021-08-12,2021,8,10,David Chen,Population approaching extirpation
S0310,SITE02,2021-09-05,2021,9,7,Maria Rodriguez,Fall numbers at critical threshold
S0311,SITE03,2021-05-16,2021,5,3,James Wilson,Forest edge population facing extirpation
S0312,SITE03,2021-06-23,2021,6,4,Emma Johnson,Critical pesticide impacts evident
S0313,SITE03,2021-07-19,2021,7,5,David Chen,Very few breeding adults remaining
S0314,SITE03,2021-08-13,2021,8,3,Maria Rodriguez,Population nearly gone
S0315,SITE03,2021-09-06,2021,9,2,James Wilson,Fall count showing functional extinction
S0316,SITE04,2021-05-17,2021,5,80,Emma Johnson,Protected site maintaining viability
S0317,SITE04,2021-06-24,2021,6,94,David Chen,Conservation measures showing effectiveness
